destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,car,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ5min,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp,Y
Work,Alone,Sunny,80,7AM,Carry out & Take away,1d,Male,26,Single,0,Associates degree,Unemployed,Less than $12500,,less1,never,1~3,less1,less1,1,1,1,0,1,1
Work,Alone,Sunny,80,7AM,Carry out & Take away,1d,Male,26,Single,0,Associates degree,Unemployed,Less than $12500,,less1,never,1~3,less1,less1,1,1,1,0,1,1
Work,Alone,Sunny,80,7AM,Carry out & Take away,1d,Male,26,Single,0,Graduate degree (Masters or Doctorate),Management,$25000 - $37499,,4~8,gt8,gt8,4~8,less1,1,1,1,0,1,1
Work,Alone,Sunny,80,7AM,Carry out & Take away,1d,Male,26,Single,0,Graduate degree (Masters or Doctorate),Management,$25000 - $37499,,4~8,gt8,gt8,4~8,less1,1,1,1,0,1,1
Work,Alone,Sunny,80,7AM,Carry out & Take away,1d,Female,26,Single,0,Bachelors degree,Education&Training&Library,$50000 - $62499,,1~3,never,4~8,1~3,less1,1,1,1,0,1,1
Work,Alone,Sunny,80,7AM,Carry out & Take away,1d,Female,26,Single,0,Bachelors degree,Education&Training&Library,$50000 - $62499,,1~3,never,4~8,1~3,less1,1,1,1,0,1,1
Work,Alone,Sunny,80,7AM,Carry out & Take away,1d,Female,46,Single,0,Some college - no degree,Protective Service,$25000 - $37499,,1~3,never,4~8,1~3,1~3,1,1,1,0,1,1
Work,Alone,Sunny,80,7AM,Carry out & Take away,1d,Female,46,Single,0,Some college - no degree,Protective Service,$25000 - $37499,,1~3,never,4~8,1~3,1~3,1,1,1,0,1,1
Work,Alone,Sunny,80,7AM,Carry out & Take away,1d,Female,21,Single,0,Bachelors degree,Life Physical Social Science,$37500 - $49999,,less1,never,less1,1~3,never,1,1,1,0,1,0
Work,Alone,Sunny,80,7AM,Carry out & Take away,1d,Female,21,Single,0,Bachelors degree,Life Physical Social Science,$37500 - $49999,,less1,never,less1,1~3,never,1,1,1,0,1,0
Work,Alone,Sunny,80,7AM,Carry out & Take away,1d,Female,36,Single,1,Graduate degree (Masters or Doctorate),Education&Training&Library,$37500 - $49999,,less1,never,4~8,1~3,less1,1,1,1,0,1,1
Work,Alone,Sunny,80,7AM,Carry out & Take away,1d,Female,36,Single,1,Graduate degree (Masters or Doctorate),Education&Training&Library,$37500 - $49999,,less1,never,4~8,1~3,less1,1,1,1,0,1,1
Work,Alone,Sunny,80,7AM,Carry out & Take away,1d,Female,26,Single,0,Bachelors degree,Unemployed,$25000 - $37499,,never,less1,1~3,4~8,never,1,1,1,0,1,0
Work,Alone,Sunny,80,7AM,Carry out & Take away,1d,Female,26,Single,0,Bachelors degree,Unemployed,$25000 - $37499,,never,less1,1~3,4~8,never,1,1,1,0,1,0
